audiofile,tempo,danceability,instrumentalvoice,style,arousal,valence
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7s/7snDJE0XjfykF0cLs5bota.mp3,126.66699981689452,1.0354809761047363,voice,Electronic---Bassline,4.9641466,6.3673806
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1A/1A9A1GJIfRI2yTVCfECiMc.mp3,115.05391693115234,1.3913062810897827,voice,Pop---K-pop,5.8687987,5.902159
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1A/1AluskjFqJEP2WVOAEryBS.mp3,112.94715881347656,1.1152204275131226,instrumental,Pop---Bollywood,4.5260377,5.5352554
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3B/3B9CVXsyyFRVQwCPYbhS9m.mp3,111.89347839355467,1.562458872795105,voice,Rock---Indie Rock,4.610704,5.7708554
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/74/74KYlX8spYdydEcXQ72tud.mp3,81.83992767333984,1.373555302619934,voice,Folk_ World_ & Country---Zouk,5.718491,6.2246065
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/0p/0pqfp38KgVkmkZSFjeYtRF.mp3,150.11083984375,1.4184348583221436,instrumental,Electronic---Chiptune,6.6964006,6.2591677
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/0p/0paNrA7xVl2mEVIHW62Gvv.mp3,118.17428588867188,1.151628851890564,voice,Latin---Bossanova,4.983955,4.866466
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/24/24zP7HDzOD078cjG0q61i3.mp3,94.1212387084961,2.6443915367126465,voice,Latin---Cumbia,5.9926705,6.1283264
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7y/7yPgRhyTo1wXGPGqGJ2xvZ.mp3,123.73870849609376,1.2688525915145874,voice,Folk_ World_ & Country---Folk,5.251331,4.96159
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6X/6Xz87GPpMf0LnuG2XjdBbp.mp3,108.9527587890625,1.5236982107162476,voice,Folk_ World_ & Country---Laïkó,6.4304485,6.302351
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6X/6XSLju3KymWQh4GrUmo7N5.mp3,161.4989776611328,1.12568199634552,instrumental,Children's---Nursery Rhymes,4.915944,4.0250506
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1f/1f8upakmMaN49wRu51MJCX.mp3,99.42957305908205,1.4382144212722778,voice,Electronic---Synth-pop,5.5781727,5.0871162
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1u/1uigwk5hNV84zRd5YQQRTk.mp3,109.9336395263672,1.848233342170716,voice,Hip Hop---RnB/Swing,5.891779,5.6947193
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5X/5XlzAyqqljr0f5p8wX1ycf.mp3,96.33683013916016,1.2152159214019775,instrumental,Electronic---Chillwave,4.8862376,3.9599655
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6H/6HTxZGspnD9hpqA7bNbucE.mp3,119.45993041992188,0.8420277237892151,voice,Classical---Neo-Romantic,4.1032596,4.678305
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6H/6HJgtZbak1dQaiPf5W2k4E.mp3,123.53424835205078,1.1023420095443726,instrumental,Rock---Heavy Metal,4.3248096,7.19391
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6H/6HXDbCTxg77WmXb18qwJLz.mp3,96.32083129882812,1.2217819690704346,voice,Folk_ World_ & Country---Indian Classical,4.5208855,4.7222667
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2H/2H6JeFaiMo6XIYBxdMVHxj.mp3,126.97785949707033,1.416006326675415,voice,Electronic---House,6.383026,5.898604
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3s/3skRrT9Fu5Imq8gawfuHUD.mp3,100.04132843017578,1.402343988418579,voice,Electronic---House,5.7777143,7.4209456
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2P/2PjJuEYjyNKXz1ekH6UprL.mp3,129.28192138671875,1.217930555343628,voice,Folk_ World_ & Country---Country,6.114385,5.377349
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5v/5vmRQ3zELMLUQPo2FLQ76x.mp3,134.64926147460938,1.3791269063949585,voice,Electronic---Synth-pop,6.148901,5.263345
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5v/5v6fwkgHeF0N32LmEoQyQB.mp3,86.11028289794922,1.2344410419464111,instrumental,Rock---Garage Rock,6.1867957,6.373183
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7M/7MoYf0bDMAGXhERqM4cJlb.mp3,144.6414031982422,0.9619879722595216,voice,Hip Hop---Grime,4.526872,6.0527015
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1G/1G6OJ29i0BWVXLAF8ds37r.mp3,103.28775024414062,0.9976614713668824,voice,Rock---Ethereal,3.9020011,4.383211
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1i/1idSjEVsZTtAoGbIvJs4Wy.mp3,94.95884704589844,1.6973966360092163,voice,Rock---Pop Rock,5.32966,7.150724
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6u/6ursmCnbc9oDRGa2yHKkoZ.mp3,120.5595474243164,1.570136308670044,voice,Rock---Nu Metal,2.4221985,7.046721
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5q/5qtSZaAkBrng5kGpqVMo64.mp3,106.78392028808594,1.4453305006027222,voice,Latin---Salsa,6.5679183,6.0972705
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/11/11sC0rKY4O7CYfEk551Ee5.mp3,106.35023498535156,1.0598442554473877,instrumental,Electronic---Downtempo,4.9346104,5.5794845
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1Y/1YMPBK7iKEy6JH3q0ZovMk.mp3,85.99872589111328,1.8754278421401973,voice,Rock---Punk,5.03667,6.615846
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6x/6xyQGhjgxXslzWyOg6YnJd.mp3,128.02420043945312,1.0178252458572388,instrumental,Electronic---House,5.658433,6.0189
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5Q/5QMxY59cR4cG0jYSw64E8v.mp3,134.9212646484375,1.81149971485138,voice,Electronic---House,5.158846,6.2257876
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6g/6g5xYif6Sxy7W4a2AWF9oY.mp3,172.26553344726562,1.328884840011597,voice,Electronic---Drum n Bass,4.8201976,4.4150863
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5c/5cMmSjvcIiBFkI72hIbPog.mp3,150.1737823486328,1.235036849975586,instrumental,Electronic---Disco Polo,6.5776,7.397623
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5c/5cxnSTLzGD1t9xcdmJYFVB.mp3,84.80136108398438,1.2343794107437134,voice,Folk_ World_ & Country---Folk,6.0931993,5.7736998
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5Y/5Y9u63K2tFtYIsabBmTeJ3.mp3,126.61360168457033,1.4260761737823486,voice,Pop---Parody,6.0969005,5.390256
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5S/5SuuIiMavLj9kvLqp2Obph.mp3,95.86793518066406,1.5902154445648191,voice,Folk_ World_ & Country---Raï,5.5005894,5.738402
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5S/5SiFNEq6d7DoY25ZJxal7Q.mp3,83.00616455078125,1.75798761844635,instrumental,Hip Hop---Instrumental,5.0259404,4.809926
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5S/5S7EeRgYr2T5EqqHhxY6YD.mp3,123.0540771484375,0.8872877955436707,voice,Rock---Metalcore,3.897998,6.2073665
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2x/2xPctWqifw9765P9OgX6zW.mp3,129.93544006347656,1.6597782373428345,voice,Electronic---Techno,5.7468314,7.3060856
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2x/2xhGZ3WzOa3tir28y7Cb88.mp3,80.14922332763672,1.3856077194213867,voice,Hip Hop---Trip Hop,4.6046314,4.0973682
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7o/7oyNkRW8FMOEjTfcFqI3l7.mp3,90.8203582763672,1.1337308883666992,voice,Latin---MPB,4.5132303,3.763314
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7o/7o44gXtRKzOcCwD0fK1RlG.mp3,104.88013458251952,0.942375123500824,instrumental,Rock---Death Metal,3.2210674,5.5965056
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7K/7Kjh6A5voYQ1rFFnYEbYq6.mp3,149.03245544433594,1.3838073015213013,voice,Rock---Alternative Rock,4.6601415,5.7690997
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3Q/3QeOQM3KuMGZblLvVOfXtv.mp3,87.85890197753906,0.9995492100715636,voice,Funk / Soul---Soul,5.039608,4.714031
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3e/3efj95Oob9ERN0oL3JvRjj.mp3,129.82785034179688,1.19627845287323,voice,Rock---Alternative Rock,5.305045,7.223273
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/0M/0MRCtCmsGlgrVgGZz6uKRE.mp3,118.21250915527344,1.4357755184173584,voice,Pop---Parody,5.758946,5.4251513
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5V/5VWiodZjbO031AQiZW4ogu.mp3,129.69886779785156,2.906990766525269,instrumental,Electronic---Euro House,6.186047,6.1929827
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1U/1UzToWI08oeALYHDnLJtEu.mp3,93.86294555664062,1.716200828552246,voice,Latin---Reggaeton,5.8154645,6.5759664
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2N/2N7xaeH8rNjg0jD7svVFjz.mp3,124.9613800048828,1.662163257598877,instrumental,Rock---Hard Rock,5.169272,6.044025
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2N/2Nlscuog6PEPrWW4FWjKs8.mp3,119.63777160644533,1.042646408081055,voice,Rock---Dream Pop,4.2613473,3.495217
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2N/2NAsNNtrnkBMGPXJ6V5cVy.mp3,94.18212890625,1.412216067314148,instrumental,Hip Hop---Conscious,4.6330295,4.982377
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5C/5CR6fkqEbUECCh7DRPSEd8.mp3,79.93373107910156,1.3149348497390747,voice,Rock---Indie Rock,4.2573705,4.6481667
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5C/5CFQoWd1c8yuA5KAg75NaU.mp3,90.35887908935548,1.1960866451263428,voice,Pop---Ballad,4.3638554,4.5744243
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2M/2M6FEnvGrs0t9qQzHu64NX.mp3,89.72834777832031,1.2887300252914429,instrumental,Electronic---Dubstep,5.3436685,6.9244127
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2M/2MSvdhhOadGJ3mIvwGixkW.mp3,153.43310546875,1.3674118518829346,voice,Rock---Power Metal,4.425006,6.278425
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/28/28nlAV0NMJczJRP3svBLbz.mp3,153.7939453125,1.1301124095916748,voice,Hip Hop---Trap,3.8706734,6.148524
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/28/28r5Yn3BHzgrefr2fhxi9C.mp3,178.2058868408203,1.820133805274964,voice,Hip Hop---Jazzy Hip-Hop,5.7017813,6.027145
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2K/2KAzG49Cr9OLbQiMNmhONn.mp3,140.16432189941406,1.2205346822738647,voice,Hip Hop---Gangsta,4.580034,5.504355
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6c/6cJLfIqwh0tCKRjYM3WpZ5.mp3,139.93930053710938,1.5095926523208618,voice,Latin---Forró,5.905002,7.0571866
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1t/1tBVMHom1wGGif0SnLbzRy.mp3,162.21754455566406,1.388020634651184,instrumental,Jazz---Smooth Jazz,5.32593,5.8385377
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7d/7dPRAkm7CVftygF7hzfPLQ.mp3,83.71732330322266,1.6969515085220337,voice,Hip Hop---Gangsta,4.579199,4.74574
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2Q/2QgAmr8sVBoYrzrqeIMXot.mp3,147.80935668945312,1.1622029542922974,instrumental,Classical---Baroque,3.7371533,3.9085572
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5H/5HpTaJd4IwfMYkgwUmHU2E.mp3,99.62551879882812,0.8312230110168457,voice,Rock---Pop Punk,4.7006946,6.858233
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5H/5HWXltM92c8yp0NaOJmB2t.mp3,104.2898178100586,1.288694977760315,instrumental,Classical---Romantic,4.765168,4.809931
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6B/6BGTLwYhPmKJTtpY6xgju2.mp3,91.05692291259766,1.919716477394104,instrumental,Hip Hop---Jazzy Hip-Hop,6.61577,3.991219
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7l/7lRLXhJRCYhmi4XnXsyJA6.mp3,122.70047760009766,1.4955962896347046,instrumental,Folk_ World_ & Country---Celtic,6.6692367,6.091471
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7l/7lYj2tdrfCA81BoqeMcxQV.mp3,122.89632415771484,1.4137077331542969,instrumental,Electronic---Progressive House,6.2531805,6.1960273
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/63/63ysVCXZbinuzZ2oVaSAer.mp3,156.0631561279297,1.571680784225464,instrumental,Rock---Hardcore,2.6492584,6.922735
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/63/63OQupATfueTdZMWTxW03A.mp3,150.89637756347656,1.345856547355652,voice,Rock---Alternative Rock,4.896469,5.886286
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/3D/3Dzp4DXfyV76A63cnpUzPj.mp3,99.8572235107422,1.4402402639389038,voice,Hip Hop---Crunk,3.2495139,6.273984
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6k/6kAfAYGGj0xcsA2sHuY9jE.mp3,95.94844818115234,1.9809296131134035,voice,Latin---Reggaeton,5.8000646,6.6589065
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7c/7cSjNG8lf4ZammGdJMRZht.mp3,113.2646484375,1.650282859802246,voice,Folk_ World_ & Country---Soukous,6.079186,5.751219
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5w/5w9lY4qeCIkiL6IrvYMz0G.mp3,92.4959716796875,1.7145662307739258,voice,Hip Hop---Boom Bap,4.787536,5.9190507
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/5w/5wDFh3bQmCRCnH6miOngrs.mp3,117.86224365234376,1.5184248685836792,voice,Rock---Alternative Rock,4.5349755,6.75654
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/1y/1yyhrO8v9JArxVQBl5X9lZ.mp3,118.21478271484376,1.442658305168152,voice,Electronic---Synth-pop,6.995859,6.4245844
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4h/4hmwu3e0flrPY49HpSMSHE.mp3,148.9039306640625,1.370242953300476,voice,Children's---Educational,6.4834604,6.103652
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/6e/6eStrUlthfFgrGEH2GfYUW.mp3,114.70045471191406,1.2521936893463137,voice,Hip Hop---Hardcore Hip-Hop,3.7757027,5.407171
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2c/2cFK03sObtI6AK3QKeOT5g.mp3,123.6884994506836,1.0612146854400637,voice,Electronic---House,5.3302994,5.671369
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/2c/2cNiej42Xd26nrpMgmNV1g.mp3,107.95297241210938,1.1657109260559082,voice,Folk_ World_ & Country---Folk,4.879723,3.5461395
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7C/7CeRWs6kX4dpiVqV05pyey.mp3,125.62283325195312,2.687182664871216,instrumental,Folk_ World_ & Country---African,5.4352384,5.642647
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7C/7CiQkszuCFXCPQYlQRPFOb.mp3,72.72525787353516,1.2880648374557495,voice,Rock---Alternative Rock,5.6243415,6.054332
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4Z/4Z29DbqTLBDxK1bcx4Nc0T.mp3,129.6724853515625,1.2116506099700928,instrumental,Rock---Death Metal,2.6480598,5.2039
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4Z/4Zh7R0yX6T5QehcTtdC8Uw.mp3,127.92857360839844,1.4093215465545654,voice,Rock---Coldwave,6.5834174,6.5259695
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4Z/4ZtkIurvcUISJjY5CiTz6y.mp3,127.03690338134766,1.3780217170715332,voice,Folk_ World_ & Country---Laïkó,6.041393,5.1712723
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/7n/7neWp4incUBLP1XQTNWmP0.mp3,172.2655487060547,1.562570571899414,voice,Latin---Reggaeton,5.658703,6.180569
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/43/43fWuA5ZjByrpHNr1KZoRz.mp3,127.26952362060548,1.1929938793182373,voice,Pop---Schlager,6.186529,4.8076477
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/43/43ZdIH57uxcyf1aKi9SVOh.mp3,103.79161834716795,0.9813682436943054,instrumental,Jazz---Easy Listening,4.58557,4.5454392
https://github.com/raquellucenap/streamlit/blob/main/audio/audio.001/4L/4LI8U6ORaHwNwgAXX2QqIP.mp3,117.05696105957033,1.387305498123169,voice,Latin---Porro,6.080804,6.0247664
